Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C12, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C18, C19, C2, C20, C21, C22, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0402,127,100n,
"C11, C143, C17, C8, C9",0402,5,100nf,
"C13, C14",0402,2,24pf,
"C142, C23",0805,2,2u2,
C15,1206,1,10u,
C16,1206,1,100u,
C3,0402,1,4u7/10v,
"C4, C7",0402,2,10nf/10v,
"C5, C6",0402,2,1uf/10v,
FB1,0603,1,600 @ 100Mhz,
FB2,0805,1,120R @ 100MHz,
"HALL1, HALL10, HALL11, HALL12, HALL13, HALL14, HALL15, HALL16, HALL17, HALL18, HALL19, HALL2, HALL20, HALL21, HALL22, HALL23, HALL24, HALL25, HALL26, HALL27, HALL28, HALL29, HALL3, HALL30, HALL31, HALL32, HALL33, HALL34, HALL35, HALL36, HALL37, HALL38, HALL39, HALL4, HALL40, HALL41, HALL42, HALL43, HALL44, HALL45, HALL46, HALL47, HALL48, HALL49, HALL5, HALL50, HALL51, HALL52, HALL53, HALL54, HALL55, HALL56, HALL57, HALL58, HALL59, HALL6, HALL60, HALL61, HALL7, HALL8, HALL9",SLSS49E-3 with MX holes 3,61,SLSS49E-3,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST SH 4-pin,C160404
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R7, R8, R9",0402,61,10k,
R2,0402,1,47,
R3,0603,1,10K,
"R64, R65",1206,2,1,
S1,STAB_MX_P_2u,1,MX_stab_2u,
"S2, S3",STAB_MX_P_2.25u,2,2.25u,
S4,STAB_MX_P_2.75u,1,2.75u,
S5,STAB_MX_P_6.25u,1,6.25u,
SW1,SW_SPST_Omron_B3FS-100xP,1,RESET,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G473CBTx,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SSAJ120100,1,SSAJ120100,
"U4, U5, U6, U7, U8",TSSOP-24_4.4x7.8mm_P0.65mm,5,74HC4067,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,20Mhz,
